Expr1000,CoverClass,Species,Percent,Height,Notes,CoverType,PlotID,LifeForm,Binomial,Date
9/12/2024,V,BERREP,3,9,,Aerial,SFF8V-278,Shrub,Berberis repens Lindl.,9/12/2024
9/10/2024,V,BERREP,T,N/A,,Basal,SFF5V-252,Shrub,Berberis repens Lindl.,9/10/2024
9/18/2024,V,BERREP,T,2,,Aerial,SFF6V-289,Shrub,Berberis repens Lindl.,9/18/2024
9/18/2024,V,BERREP,T,N/A,,Basal,SFF6V-288,Shrub,Berberis repens Lindl.,9/18/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-23,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-22,Shrub,Berberis repens Lindl.,9/3/2024
9/5/2024,V,BERREP,1,7,,Aerial,SFS4V-48,Shrub,Berberis repens Lindl.,9/5/2024
9/18/2024,V,BERREP,T,N/A,,Basal,SFF6V-289,Shrub,Berberis repens Lindl.,9/18/2024
9/3/2024,V,BERREP,5,9,,Aerial,BTN4V-16,Shrub,Berberis repens Lindl.,9/3/2024
9/10/2024,V,BERREP,T,N/A,,Basal,SFF5V-251,Shrub,Berberis repens Lindl.,9/10/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-18,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-17,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-16,Shrub,Berberis repens Lindl.,9/3/2024
9/18/2024,V,BERREP,T,9,,Aerial,SFF6V-290,Shrub,Berberis repens Lindl.,9/18/2024
9/18/2024,V,BERREP,T,N/A,,Basal,SFF6V-290,Shrub,Berberis repens Lindl.,9/18/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-11,Shrub,Berberis repens Lindl.,9/3/2024
9/18/2024,V,BERREP,1,8,,Aerial,SFF6V-291,Shrub,Berberis repens Lindl.,9/18/2024
9/3/2024,V,BERREP,3,14,definitely BERREP; change 2021 data,Aerial,BTN4V-17,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-20,Shrub,Berberis repens Lindl.,9/3/2024
9/5/2024,V,BROCIL,2,72,,Aerial,SFS4V-46,Graminoid,Bromus ciliatus L.,9/5/2024
9/12/2024,V,BROCIL,T,55,,Aerial,SFF8V-265,Graminoid,Bromus ciliatus L.,9/12/2024
9/5/2024,V,BROCIL,T,N/A,,Basal,SFS4V-48,Graminoid,Bromus ciliatus L.,9/5/2024
8/28/2024,V,BROCIL,T,N/A,,Basal,SFF10V-218,Graminoid,Bromus ciliatus L.,8/28/2024
9/12/2024,V,BROCIL,T,N/A,,Basal,SFF8V-265,Graminoid,Bromus ciliatus L.,9/12/2024
9/18/2024,V,BROCIL,T,N/A,,Basal,SFF6V-290,Graminoid,Bromus ciliatus L.,9/18/2024
9/18/2024,V,BROCIL,T,N/A,,Basal,SFF6V-291,Graminoid,Bromus ciliatus L.,9/18/2024
9/12/2024,V,BROCIL,T,13,,Aerial,SFF8V-283,Graminoid,Bromus ciliatus L.,9/12/2024
8/26/2024,V,BROCIL,1,N/A,,Basal,SFF1V-207,Graminoid,Bromus ciliatus L.,8/26/2024
9/3/2024,V,BROCIL,T,5,,Aerial,BTN4V-23,Graminoid,Bromus ciliatus L.,9/3/2024
9/4/2024,V,BROCIL,1,,,Aerial,SFF2V-241,Graminoid,Bromus ciliatus L.,9/4/2024
9/4/2024,V,BROCIL,T,N/A,,Basal,SFF2V-241,Graminoid,Bromus ciliatus L.,9/4/2024
8/26/2024,V,BROCIL,7,29,,Aerial,SFF1V-207,Graminoid,Bromus ciliatus L.,8/26/2024
8/28/2024,V,BROCIL,4,27,,Aerial,SFF10V-217,Graminoid,Bromus ciliatus L.,8/28/2024
9/18/2024,V,BROCIL,T,43,,Aerial,SFF6V-290,Graminoid,Bromus ciliatus L.,9/18/2024
9/18/2024,V,BROCIL,T,19,,Aerial,SFF6V-291,Graminoid,Bromus ciliatus L.,9/18/2024
8/26/2024,V,BROCIL,1,N/A,,Basal,SFF1V-211,Graminoid,Bromus ciliatus L.,8/26/2024
8/28/2024,V,BROCIL,T,10,,Aerial,SFF10V-218,Graminoid,Bromus ciliatus L.,8/28/2024
9/5/2024,V,BROCIL,T,N/A,,Basal,SFS4V-46,Graminoid,Bromus ciliatus L.,9/5/2024
9/4/2024,V,BROCIL,T,14,,Aerial,SFF2V-239,Graminoid,Bromus ciliatus L.,9/4/2024
8/26/2024,V,BROCIL,3,22,,Aerial,SFF1V-211,Graminoid,Bromus ciliatus L.,8/26/2024
8/28/2024,V,BROCIL,2,N/A,,Basal,SFF10V-217,Graminoid,Bromus ciliatus L.,8/28/2024
9/3/2024,V,BROCIL,T,N/A,,Basal,BTN4V-23,Graminoid,Bromus ciliatus L.,9/3/2024
9/5/2024,V,BROCIL,1,51,,Aerial,SFS4V-48,Graminoid,Bromus ciliatus L.,9/5/2024
9/11/2024,V,ANDSEP,T,N/A,,Basal,SFF7V-257,Forb,Androsace septentrionalis L.,9/11/2024
9/11/2024,V,ANDSEP,T,1,,Aerial,SFF7V-257,Forb,Androsace septentrionalis L.,9/11/2024
9/5/2024,V,ANDSEP,T,1,,Aerial,SFS4V-35,Forb,Androsace septentrionalis L.,9/5/2024
9/5/2024,V,ANDSEP,T,N/A,,Basal,SFS4V-36,Forb,Androsace septentrionalis L.,9/5/2024
